Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,0.81,0.87,0.78,0.86,535796800,0.0,0.0
2000-01-04,0.84,0.85,0.78,0.79,512377600,0.0,0.0
2000-01-05,0.8,0.85,0.79,0.8,778321600,0.0,0.0
2000-01-06,0.82,0.83,0.73,0.73,767972800,0.0,0.0
2000-01-07,0.74,0.78,0.74,0.77,460734400,0.0,0.0
2000-01-10,0.79,0.79,0.73,0.75,505064000,0.0,0.0
2000-01-11,0.74,0.77,0.7,0.72,441548800,0.0,0.0
2000-01-12,0.73,0.74,0.67,0.67,976068800,0.0,0.0
2000-01-13,0.73,0.76,0.71,0.75,1032684800,0.0,0.0
2000-01-14,0.77,0.79,0.77,0.77,390376000,0.0,0.0
2000-01-18,0.78,0.82,0.77,0.8,459177600,0.0,0.0
2000-01-19,0.81,0.84,0.8,0.82,597643200,0.0,0.0
2000-01-20,0.89,0.94,0.88,0.88,1831132800,0.0,0.0
2000-01-21,0.88,0.88,0.85,0.86,495924800,0.0,0.0
2000-01-24,0.84,0.87,0.81,0.82,440876800,0.0,0.0
2000-01-25,0.81,0.87,0.79,0.87,497145600,0.0,0.0
2000-01-26,0.85,0.88,0.85,0.85,367158400,0.0,0.0
2000-01-27,0.84,0.87,0.83,0.85,340144000,0.0,0.0
2000-01-28,0.83,0.86,0.78,0.78,423348800,0.0,0.0
2000-01-31,0.78,0.8,0.73,0.8,701680000,0.0,0.0
2000-02-01,0.8,0.81,0.77,0.77,318035200,0.0,0.0
2000-02-02,0.78,0.79,0.75,0.76,464195200,0.0,0.0
2000-02-03,0.77,0.8,0.77,0.8,475193600,0.0,0.0
2000-02-04,0.8,0.85,0.8,0.83,425320000,0.0,0.0
2000-02-07,0.83,0.88,0.82,0.88,441067200,0.0,0.0
2000-02-08,0.88,0.9,0.86,0.89,408643200,0.0,0.0
2000-02-09,0.88,0.9,0.87,0.87,299364800,0.0,0.0
2000-02-10,0.87,0.88,0.85,0.88,302982400,0.0,0.0
2000-02-11,0.88,0.88,0.84,0.84,212251200,0.0,0.0
2000-02-14,0.84,0.89,0.84,0.89,367539200,0.0,0.0
2000-02-15,0.89,0.93,0.89,0.92,485744000,0.0,0.0
2000-02-16,0.91,0.91,0.87,0.88,378246400,0.0,0.0
2000-02-17,0.89,0.89,0.87,0.89,289497600,0.0,0.0
2000-02-18,0.88,0.89,0.86,0.86,233441600,0.0,0.0
2000-02-22,0.85,0.9,0.82,0.88,422296000,0.0,0.0
2000-02-23,0.87,0.92,0.86,0.9,473099200,0.0,0.0
2000-02-24,0.91,0.92,0.86,0.89,376432000,0.0,0.0
