,Portfolio,S&P
tickers,"['VAR', 'UPS', 'XOM', 'XEC', 'WY', 'HES', 'AAPL', 'CTL', 'L', 'ES', 'FLR', 'WHR', 'BBY', 'COF', 'DISCA', 'GPS', 'XEL', 'PBI', 'ORCL', 'MAC', 'SWK', 'MAT', 'JCI', 'EBAY', 'PNC', 'PNR', 'KO', 'DO', 'BSX', 'ADS', 'AMAT', 'PDCO', 'QCOM', 'AME', 'GE', 'JPM', 'CB', 'GME', 'DE', 'DNR', 'A', 'WU', 'RL', 'XRX', 'MUR', 'HIG', 'KIM', 'HRL', 'EOG', 'LH', 'TAP', 'SPG', 'NE', 'AEE', 'AEP', 'APD', 'CMCSA', 'ROP', 'FTI', 'CAT', 'NKE', 'ORLY', 'IQV', 'FCX', 'NBR', 'DFS', 'EXPE', 'DGX', 'BWA', 'FB', 'GRMN', 'SLB', 'YUM', 'PSA', 'POM', 'TDC', 'BKR', 'TFC', 'AN', 'MDLZ', 'PLD', 'FAST', 'TSN', 'COG', 'IVZ', 'PFE', 'HRB', 'MDT', 'TRIP', 'NI', 'AES', 'LMT', 'R', 'GS', 'KSS', 'BIIB', 'AMCR', 'MTB', 'FE', 'MKC', 'MCK', 'MS', 'AIV', 'ALXN', 'AMZN', 'T', 'CTSH', 'SHW', 'BA', 'TGNA', 'CTXS', 'OKE', 'AMP', 'LUV', 'CL', 'EW', 'AIZ', 'EMN', 'NOC', 'DVN', 'KLAC', 'NTAP', 'VRSN', 'UNP', 'PHM', 'OI', 'ICE', 'FLS', 'MA', 'ADM', 'GLW', 'CNX', 'LEG', 'CINF', 'ADI', 'CI', 'STZ', 'TGT', 'CHK', 'DHI', 'AMG', 'CNP', 'PCG', 'SBUX', 'OMC', 'TXN', 'HBAN', 'CPB', 'STX', 'GNW', 'SRCL', 'PBCT', 'RSG', 'GOOGL', 'TJX', 'VMC', 'PKI', 'DLTR', 'HOG', 'EFX', 'HD', 'IBM', 'FMC', 'PEP', 'DVA', 'LOW', 'NWSA', 'PH', 'GPC', 'AON', 'WMT', 'DTE', 'TRV', 'ETFC', 'ETN', 'EXPD', 'MO', 'DRI', 'DG', 'WAT', 'SNA', 'KR', 'BAX', 'GOOG', 'PWR', 'FITB', 'NVDA', 'CSCO', 'CTAS', 'SO', 'NDAQ', 'LRCX', 'SWN', 'ACN', 'MHK', 'CMG', 'REGN', 'MSFT', 'LHX', 'WELL', 'COV', 'XLNX', 'CMA', 'APTV', 'CMI', 'EMR', 'PPG', 'ETR', 'MPC', 'COP', 'CF', 'ROST', 'AGN', 'GM', 'K', 'NAVI', 'ALL', 'LIN', 'KSU', 'GWW', 'MLM', 'PM', 'HOT', 'LLY', 'PXD', 'AVP', 'MNST', 'FDX', 'CAH', 'BK', 'GL', 'ITW', 'MU', 'CBRE', 'ISRG', 'WBA', 'AZO', 'IP', 'KMB', 'BBBY', 'EQR', 'GT', 'FSLR', 'FTR', 'FISV', 'WEC', 'OXY', 'VZ', 'NTRS', 'BDX', 'ECL', 'LNC', 'RTN', 'CAG', 'ADSK', 'NLSN', 'EA', 'V', 'NEM', 'UHS', 'DHR', 'XRAY', 'APA', 'PRU', 'TEL', 'WMB', 'VLO', 'UNM', 'DUK', 'MAR', 'BKNG', 'FIS', 'EQT', 'ABT', 'APH', 'CVS', 'PEG', 'UAA', 'NRG', 'DIS', 'CLX', 'URI', 'CSC', 'STI', 'CRM', 'ED', 'BAC', 'PAYX', 'MYL', 'CHRW', 'ESS', 'EMC', 'RHI', 'ABC', 'MCD', 'GIS', 'KEY', 'XYL', 'BLK', 'INTU', 'TROW', 'COL', 'MRK', 'MET', 'NFLX', 'ADBE', 'PNW', 'PCAR', 'DAL', 'SPGI', 'FOSL', 'RTX', 'J', 'LEN', 'BMY', 'VNO', 'MCO', 'VTR', 'MMC', 'HON', 'HAR', 'AVGO', 'AVY', 'FLIR', 'DISCK', 'UNH', 'KMX', 'EIX', 'NUE', 'JEF', 'M', 'AXP', 'VRTX', 'RIG', 'EXC', 'TSCO', 'CCL', 'NEE', 'JNPR', 'URBN', 'AKAM', 'ROK', 'MNK', 'ZBH', 'AVB', 'LYB', 'MSI', 'INTC', 'SEE', 'D', 'PGR', 'LB', 'DOV', 'TIF', 'IPG', 'ZTS', 'F', 'ABBV', 'CERN', 'CPRI', 'COST', 'CME', 'LM', 'WDC', 'MRO', 'MAS', 'SJM', 'IRM', 'JNJ', 'GAS', 'RCL', 'HPQ', 'GILD', 'AMGN', 'SRE', 'CCI', 'HAS', 'PRGO', 'PPL', 'HSY', 'TPR', 'QEP', 'MOS', 'WYNN', 'TMO', 'ANTM', 'ALLE', 'HUM', 'PEAK', 'ADP', 'RF', 'SCHW', 'SYK', 'BXP', 'CMS', 'AMT', 'TXT', 'PVH', 'NWL', 'STT', 'GD', 'VFC', 'PG', 'BEN', 'CVX', 'SYY', 'USB', 'AIG', 'EL', 'AFL', 'HP', 'MCHP', 'PFG', 'FFIV', 'C', 'BLL', 'NSC', 'IFF', 'JWN', 'HAL', 'NBL', 'NOV', 'HST', 'DD', 'PSX', 'WFC', 'ZION', 'KMI', 'MMM', 'ATI', 'CSX', 'THC', 'WM', 'RRC']",
features,"['Close', 'Volume']",
model,"RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=410, verbose=0, warm_start=False)",
hist_depth,3,
train_depth,3,
start_date,2015-01-01,2015-01-01
end_date,2019-12-01,2019-12-01
allocation_builder,<function fixed_long_short at 0x7f6f1b867440>,
params,"{'long': 20, 'short': 0}",
blacklist,set(),set()
