,long,short
2015-01-01,"{'COV': 0.0, 'GAS': 0.09219858156028368, 'HAR': 0.02105211038741824, 'ROP': -0.013158764795344712, 'EMC': -0.0327865167276427, 'PSA': 0.08360655737704918, 'CTSH': 0.02340676632572773, 'AVB': 0.0543896594292352, 'KR': 0.07724137931034478, 'LM': 0.0279193441169953, 'VRSN': -0.04805172112528394, 'MDLZ': -0.032701711491442555, 'CSX': -0.0778863775198534, 'WYNN': -0.004346499923745564, 'CINF': -0.028734321550741116, 'FITB': -0.15228720324261721, 'AGN': 0.024091482521466714, 'NOC': 0.05841620626151018, 'YUM': -0.008145766345123161, 'NAVI': -0.0910186859553948}",{}
2015-02-01,"{'COV': 0.0, 'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'NBR': 0.09956631731116727, 'EMC': 0.015872843127118823, 'DISCA': 0.10768175582990387, 'BLK': 0.08482458800930125, 'MU': 0.04854700854700861, 'HAR': -0.02061805678010932, 'VAR': 0.009534422981674047, 'GWW': 0.018150388936905796, 'AMCR': 0.04182509505703434, 'HST': -0.0835164835164835, 'LEN': 0.1155176389209132, 'TFC': 0.07908847184986605, 'TJX': 0.04674796747967477, 'ITW': 0.056725502130249496, 'EXC': -0.04947117024906173, 'INTU': 0.11567164179104478, 'NAVI': 0.08349900596421482}",{}
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'DUK': -0.021696891191709786, 'GPC': -0.024593172641624923, 'EMC': 0.015872843127118823, 'STX': -0.15004472271914135, 'THC': 0.07141311404457903, 'CHK': -0.1510792017706267, 'UNP': -0.0993619816100582, 'WFC': -0.0072005236744490135, 'URBN': 0.17291880781089405, 'VTR': -0.012832550860719879, 'DISCK': -0.03691604050963734, 'PNW': -0.002813731007315807, 'HPQ': -0.09567901234567902, 'TWX': 0.03417023882424975, 'FOSL': -0.03758608614450798, 'PVH': 0.004561436852608475, 'MTB': 0.049612258245351794, 'DTE': -0.006122144243691154}",{}
2015-04-01,"{'TT': -0.8125, 'NFLX': 0.33299798792756535, 'NEM': 0.21332670313276972, 'EMN': 0.10516542876434835, 'CHK': 0.09781863367873672, 'DNR': 0.1970052724077329, 'POM': -0.028169192025537096, 'MAT': 0.2328148519819368, 'GNW': 0.20741758241758226, 'BSX': 0.003943661971831002, 'ADSK': -0.014736477115117916, 'FOSL': 0.020165208940719277, 'COV': 0.0, 'OI': 0.024486226497595045, 'NTAP': 0.028580603725112414, 'BLK': -0.0015734650848097682, 'PM': 0.10880557977332174, 'RTX': -0.030961182994454793, 'FMC': 0.034965034965034995, 'CF': 0.009590792838874589}",{}
2015-05-01,"{'POM': 0.10144993478326803, 'RCL': 0.12244224422442235, 'CHRW': -0.046075683251576655, 'FIS': 0.0, 'AMAT': 0.014762165117550552, 'IFF': 0.030839133797370435, 'EW': 0.028315243039169317, 'MSI': -0.01863124884707615, 'BIIB': 0.051573426573426645, 'JWN': -0.03211776513884245, 'TEL': 0.03564257028112454, 'VTR': -0.03411764705882355, 'GLW': 0.0010893246187363603, 'IP': -0.03174603174603164, 'DHI': 0.0254590984974958, 'VLO': 0.0455130957492487, 'CTSH': 0.10340546293011703, 'XRX': -0.011342155009451823, 'QCOM': 0.019992922859164815, 'CCL': 0.061229946524064154}",{}
2015-06-01,"{'AVP': -0.07044410413476263, 'NBR': -0.017679837092929716, 'DNR': -0.13351260690572886, 'FCX': -0.05733824302998421, 'CNX': -0.21818181818181828, 'QEP': -0.020640103092225293, 'BIIB': 0.012710908315992663, 'GNW': -0.041772151898734185, 'HES': -0.0008238589553467978, 'CHK': -0.2083628632175762, 'POM': -0.055553825230219823, 'WHR': -0.06273525721455457, 'HOT': 0.02962962962962963, 'TT': 0.0, 'MRO': -0.025386751289170985, 'COP': -0.047231558464532135, 'CSX': -0.04626675175494573, 'FTR': -0.04624376796395898, 'SYK': -0.00784790538299982, 'XOM': -0.024044032444959597}",{}
2015-07-01,"{'NEM': -0.26166044776119407, 'CHK': -0.22678571428571428, 'AVP': -0.10147299509001638, 'DNR': -0.37953631454985337, 'CSCO': 0.03637141634574231, 'NE': -0.19671525468626927, 'IRM': -0.029130632680928567, 'SWN': -0.18169819621645397, 'PPL': 0.07241379310344827, 'POM': -0.014705947015499687, 'MU': -0.02834645669291334, 'GNW': -0.08604954367666234, 'DO': -0.14691081088513408, 'NRG': -0.017249417249417295, 'AMAT': -0.10207515423443617, 'NWSA': 0.0, 'INTC': -0.050338091660405704, 'AVGO': -0.06897140418267189, 'JNPR': 0.0798640611724725, 'MNK': 0.03810401138933085}",{}
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'POM': 0.029848648142074042, 'NBR': 0.013172092265722078, 'BIIB': -0.07189460868479372, 'MON': -0.0397285868816992, 'FB': -0.043836202288035864, 'CHK': -0.08761682242990654, 'COV': 0.0, 'CI': -0.0234044030835475, 'REGN': -0.08052357333428836, 'HUM': 0.0015885623510722862, 'ORCL': -0.0716603569497025, 'FDX': -0.12163497159792551, 'HAL': -0.042830035239902364, 'HAR': -0.1285713413032456, 'CPRI': 0.04975845410628025, 'LIN': -0.07318030213851279, 'URI': 0.04318386999699075, 'TDC': -0.211916958748989}",{}
2015-09-01,"{'DNR': -0.41486810551558756, 'HAR': 0.0, 'MNK': -0.24142840194566387, 'REGN': -0.06839712391596073, 'POM': -0.014490681157347847, 'COV': 0.0, 'FB': 0.035118019573978254, 'FFIV': -0.024924216908049916, 'WAT': -0.007556040634707461, 'BIIB': -0.0014030524946958625, 'LH': -0.0624891961970614, 'NBR': -0.14076652130157663, 'TMO': -0.004630395237307775, 'WYNN': -0.27127172918572734, 'AON': -0.03095403095403087, 'KSU': 0.007323411292227788, 'CVS': -0.04138086135162495, 'GAS': -0.084, 'AMZN': 0.02554393556917899, 'XRX': -0.016688625384277515}",{}
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'REGN': 0.20124566280899117, 'AMZN': 0.22485322896281795, 'NBR': 0.038272605875620015, 'COV': 0.0, 'AVP': 0.23510971786833856, 'GOOG': 0.16838437135295944, 'ISRG': 0.07956694710754574, 'HAR': 0.04838765298416105, 'VRTX': 0.20872093023255806, 'FB': 0.13237090505274848, 'HAL': 0.06989748369058714, 'SPGI': 0.07171606293450433, 'SWK': 0.09322033898305085, 'IFF': 0.11518435872914679, 'GD': 0.08199773352760224, 'AMT': 0.16236116310994642, 'SNA': 0.09783005771900333, 'EFX': 0.09599477579451467}",{}
